GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.service.curriculum_qa,PerfIndEndGoalServiceImpl,0,6,0,0,0,1,0,1,0,1
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.service.curriculum_qa,AssmtPlanPiServiceImpl,0,6,0,0,0,1,0,1,0,1
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.service.curriculum_qa,AssessmentGenPlanServiceImpl,160,90,0,0,34,19,9,7,9,7
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.service.curriculum_qa,AssessmentPlanCycleServiceImpl,0,6,0,0,0,1,0,1,0,1
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.service.curriculum_qa,AssmtPlanOutServiceImpl,0,6,0,0,0,1,0,1,0,1
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.service.curriculum_qa,CurrMapServiceImpl,0,566,0,34,0,122,0,34,0,16
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.service.curriculum_qa,StudOutcomeServiceImpl,0,13,0,0,0,2,0,2,0,2
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.service.curriculum_qa,AssessmentPlanSubCycleServiceImpl,0,6,0,0,0,1,0,1,0,1
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.service.curriculum_qa,PerfIndicatorServiceImpl,0,6,0,0,0,1,0,1,0,1
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.service.curriculum_instance,RubricCellFilledServiceImpl,0,6,0,0,0,1,0,1,0,1
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.service.curriculum_instance,OfferedOfferedCourseServiceImpl,0,3,0,0,0,1,0,1,0,1
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.academic_registry.config,BannerClientConfigImpl,9,3,0,0,3,1,3,1,3,1
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.service.provider.faculty,FacultyProviderImpl,0,279,0,12,0,67,0,20,0,14
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.service.provider.faculty,AcadProgramProviderImpl,0,66,0,6,0,18,0,8,0,5
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.model.entity.rubric,Rubric.RubricBuilder,47,0,0,0,1,0,7,0,7,0
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.model.entity.rubric,RubricCell.RubricCellBuilder,76,0,0,0,1,0,10,0,10,0
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.model.entity.rubric,Factor.FactorBuilder,56,0,0,0,1,0,8,0,8,0
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.rs.curriculum_instance,AuthOfferedCourseByAcadPeriodControllerImpl,0,6,0,0,0,1,0,1,0,1
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.rs.curriculum_instance,AuthRubricCellByOfferedCourseControllerImpl,0,6,0,0,0,1,0,1,0,1
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.rs.curriculum_instance,AuthUserByOfferedCourseControllerImpl,0,3,0,0,0,1,0,1,0,1
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.service.perm_types,BasePermLevel,0,15,0,0,0,3,0,1,0,1
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.service.validator.faculty,UserPermAccess,0,21,0,0,0,4,0,1,0,1
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.service.validator.faculty,FacultyValidatorImpl,0,46,1,7,0,11,1,6,0,3
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.service.validator.faculty,AcadProgramValidatorImpl,5,100,2,14,0,21,3,12,1,6
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.config,CacheConfig,0,26,0,0,0,4,0,2,0,2
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.config,SchedulerConfig,0,14,0,0,0,5,0,2,0,2
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.config,SecurityConfig,36,244,4,0,11,22,3,16,1,16
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt,OutcomeCurrMgmtApplication,5,97,0,0,2,39,1,3,1,3
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt,ServletInitializer,12,0,0,0,2,0,2,0,2,0
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.rs.curriculum_definition,AuthAcadProgCurrCourseControllerImpl,0,6,0,0,0,1,0,1,0,1
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.rs.curriculum_definition,AuthAcadProgCurriculumControllerImpl,0,6,0,0,0,1,0,1,0,1
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.rs.curriculum_definition,AuthEndGoalControllerImpl,0,6,0,0,0,1,0,1,0,1
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.rs.curriculum_definition,AuthCourseControllerImpl,0,6,0,0,0,1,0,1,0,1
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.rs.curriculum_definition,AuthCourseCurrControllerImpl,0,6,0,0,0,1,0,1,0,1
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.rs.curriculum_definition,AuthCourseBlockControllerImpl,0,6,0,0,0,1,0,1,0,1
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.service.banner,BannerFacultyServiceImpl,0,185,0,4,0,44,0,8,0,6
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.saamfi.filters,SaamfiAuthenticationFilter,238,6,36,0,58,1,21,1,3,1
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.service.component.management,UserProviderImpl,15,9,0,0,2,1,2,1,2,1
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.model.entity.faculty,Faculty.FacultyBuilder,24,70,0,0,0,1,1,11,1,11
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.model.entity.faculty,Semester.SemesterBuilder,14,23,0,0,0,1,2,4,2,4
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.model.entity.faculty,PiLvlCateg.PiLvlCategBuilder,33,41,0,0,0,1,4,6,4,6
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.model.entity.faculty,PerfLvl.PerfLvlBuilder,23,51,0,0,0,1,2,8,2,8
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.model.entity.faculty,AcadProgram.AcadProgramBuilder,99,83,0,0,0,1,11,10,11,10
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.model.entity.faculty,AssessmentType.AssessmentTypeBuilder,36,29,0,0,0,1,5,4,5,4
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.mapper.rubric,RubricCellMapperImpl,0,3,0,0,0,1,0,1,0,1
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.mapper.rubric,RubricMapperImpl,0,3,0,0,0,1,0,1,0,1
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.mapper.rubric,FactorMapperImpl,0,3,0,0,0,1,0,1,0,1
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.saamfi.util,SaamfiJwtTools,160,12,0,0,30,3,9,2,9,2
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.model.entity.curriculum_definition,CourseBlock.CourseBlockBuilder,105,0,0,0,1,0,13,0,13,0
outcome-curr-mgmt,co.edu.icesi.dev.outcome_curr_mgmt.model.entity.curriculum_definition,CbAcadpcurPK.CbAcadpcurPKBuilder,27,0,0,0,1,0,5,0,5,0
